"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ATAD2B",9.41461357670632e-11,-0.194029163946557,0.386,0.468,2.47397215568689e-06
"C2",9.44598323548585e-11,-0.457221014809433,0.16,0.215,2.48221547462097e-06
"DDX46",9.54813411585151e-11,-0.17260911355231,0.381,0.47,2.50905868296346e-06
"ASB3",9.56364642756616e-11,-0.320641639729769,0.251,0.317,2.51313500823583e-06
"AC053513.1",1.00503712678383e-10,-0.47632135757609,0.088,0.134,2.64103656176254e-06
"GRK3",1.01835888361287e-10,-0.218962694151802,0.719,0.759,2.67604347435789e-06
"TBCEL",1.02855645256615e-10,-0.497085903664938,0.095,0.142,2.70284064605332e-06
"LACTB2",1.08414050081720e-10,-0.472910681532966,0.098,0.146,2.84890440804743e-06
"CFAP20",1.09241356714199e-10,-0.485684131422254,0.098,0.144,2.87064437173572e-06
"PRELID1",1.09669342939538e-10,-0.245231413471528,0.368,0.444,2.88189099376517e-06
"CACNA2D3",1.12342163971506e-10,-0.525961371668807,0.086,0.13,2.95212738484324e-06
"KPNA1",1.12588019258982e-10,-0.214546553007018,0.286,0.359,2.95858797008752e-06
"GARS",1.12775502281032e-10,-0.506018372127798,0.14,0.192,2.96351464894095e-06
"BLVRA",1.14600544814202e-10,-0.200960291877423,0.245,0.314,3.0114731166276e-06
"FBXL3",1.17237066825053e-10,-0.43633364833561,0.126,0.178,3.08075564202874e-06
"NOD2",1.1728208101439e-10,-0.573568753215052,0.074,0.116,3.08193852489615e-06
"ADNP2",1.20448624242145e-10,-0.41858292836835,0.11,0.159,3.16514894783509e-06
"FCHO2",1.21519813435098e-10,-0.300843193255287,0.647,0.691,3.1932976574475e-06
"MRPL44",1.24294757588357e-10,-0.617303625574899,0.063,0.103,3.26621763990685e-06
"BMPR2",1.25484765084919e-10,0.323599618321335,0.508,0.47,3.29748865690149e-06
"PELI2",1.27996187356596e-10,-0.35126603755814,0.195,0.255,3.36348381135662e-06
"AC100810.1",1.28142675342973e-10,-0.429323087703293,0.115,0.165,3.36733322266263e-06
"UBA3",1.2847062413187e-10,-0.293958576858568,0.208,0.271,3.37595106093728e-06
"PLAA",1.28856789760412e-10,-0.442965514470497,0.137,0.189,3.3860987213241e-06
"HSPA4",1.32910814227236e-10,-0.291428446628075,0.251,0.319,3.4926303762633e-06
"SLC36A4",1.33342958971861e-10,-0.3253714882301,0.186,0.246,3.50398627586257e-06
