"pathway","pval","padj","log2err","ES","NES","size"
"E2F3_UP.V1_DN",0.168734491315136,0.981528221191495,0.115240003147781,-0.570563460574053,-1.2871762559475,53
"E2F3_UP.V1_UP",0.471956224350205,1,0.0629394692018967,-0.476350862925707,-1.02062219440735,39
"EGFR_UP.V1_DN",0.68705035971223,1,0.0394366509525593,-0.360682499757133,-0.842441710565407,79
"EGFR_UP.V1_UP",0.529017857142857,1,0.0481183992657975,-0.398356850891408,-0.957828228031678,114
"EIF4E_DN",0.365979381443299,1,0.165656695205483,0.323446299944043,1.04496693318241,65
"EIF4E_UP",0.641873278236915,1,0.0488970772260102,-0.404274501239258,-0.865313237457309,42
"ERBB2_UP.V1_DN",0.953249714937286,1,0.0202691096367175,-0.260560083667409,-0.623981309749915,102
"ERBB2_UP.V1_UP",0.821901323706378,1,0.0311335139616949,-0.310206271074582,-0.723803082858906,77
"ESC_J1_UP_EARLY.V1_DN",0.780072904009721,1,0.0341204536062472,-0.329132382807962,-0.760138680826936,70
"ESC_J1_UP_EARLY.V1_UP",0.928571428571429,1,0.0270265157079683,-0.272626027513522,-0.62099892740257,63
"ESC_J1_UP_LATE.V1_DN",0.587730061349693,1,0.0476387259290825,-0.400964164789658,-0.92134465679303,69
"ESC_J1_UP_LATE.V1_UP",0.48,1,0.140406238523342,0.326925226025123,0.988734702791616,56
"ESC_V6.5_UP_EARLY.V1_DN",0.485037406483791,1,0.0572461135202884,-0.443056922659772,-0.996625693372918,56
"ESC_V6.5_UP_EARLY.V1_UP",0.798507462686567,1,0.0341204536062472,-0.330671955189154,-0.744038128916065,54
"ESC_V6.5_UP_LATE.V1_DN",0.420792079207921,1,0.150169802128406,0.311712184823063,1.00613385068974,64
"ESC_V6.5_UP_LATE.V1_UP",0.297429620563036,1,0.0806388495950661,-0.504079378592316,-1.15567483964722,66
"GCNP_SHH_UP_EARLY.V1_DN",0.570652173913043,1,0.133554954557592,0.287984635284558,0.929463172872724,67
"GCNP_SHH_UP_EARLY.V1_UP",0.0389150943396226,0.767556273278583,0.248911114434702,-0.631382583590494,-1.48565838836075,85
"GCNP_SHH_UP_LATE.V1_DN",0.353374233128834,1,0.0718276293603809,-0.478207330594164,-1.09883577529509,69
"GCNP_SHH_UP_LATE.V1_UP",0.0224996856174455,0.650382426484351,0.352487857583619,-0.657904405385202,-1.56434106954505,90
"GLI1_UP.V1_DN",0.971283783783784,1,0.0392758570896778,-0.243221062115557,-0.444266913752861,12
"GLI1_UP.V1_UP",0.868243243243243,1,0.0444181153081573,-0.326967022431976,-0.594642476658664,11
"GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS",0.292631578947368,1,0.11378726182188,0.723522176800265,1.18152606840255,3
"GOBP_2FE_2S_CLUSTER_ASSEMBLY",0.774954627949183,1,0.0529129848430583,-0.409453885891081,-0.700213331933491,6
"GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.163120567375887,0.9775762980387,0.143758989039275,-0.76874437623797,-1.35816125401196,9
"GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION",0.0926829268292683,0.898853107627585,0.231126709673834,0.640410939218389,1.42129621148988,12
"GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",0.744408945686901,1,0.0488970772260102,-0.39360306313017,-0.739233962573976,16
"GOBP_4FE_4S_CLUSTER_ASSEMBLY",0.576612903225806,1,0.0721797965581253,0.651113913408995,0.964725685170008,2
"GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III",0.789674952198853,1,0.0544555953940371,-0.44336416015378,-0.710474193472217,4
"GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS",0.161290322580645,0.975312704233534,0.155241966228839,0.851234785050837,1.26123562150464,2
"GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION",0.614973262032086,1,0.0629394692018967,-0.490477690034156,-0.856932809938636,7
"GOBP_7_METHYLGUANOSINE_MRNA_CAPPING",0.575700934579439,1,0.0684714904492087,-0.556413806358416,-0.927767295898957,5
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",0.76063829787234,1,0.0721797965581253,0.315520696230868,0.764576944063535,17
"GOBP_ACETYL_COA_METABOLIC_PROCESS",0.673239436619718,1,0.0815265143256594,0.327982196655348,0.854787781160351,23
"GOBP_ACIDIC_AMINO_ACID_TRANSPORT",0.0675544056887596,0.858455940990166,0.287805130535564,0.510926323359042,1.40921672335478,33
"GOBP_ACID_SECRETION",0.322195704057279,1,0.115734447701689,0.525636254994194,1.1244949873766,10
"GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS",0.887351778656126,1,0.0506004243853618,-0.46029848273043,-0.656578306005558,2
"GOBP_ACROSOME_ASSEMBLY",0.219594594594595,1,0.118287526124085,-0.712656822008301,-1.2960818326407,11
"GOBP_ACROSOME_REACTION",0.732269503546099,1,0.0544555953940371,-0.423496653650259,-0.748202866870086,9
"GOBP_ACTIN_CROSSLINK_FORMATION",0.281179138321995,1,0.121543282035469,0.611623846552661,1.20739525720028,7
"GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",0.823308270676692,1,0.0862865626267245,0.268085993523883,0.778312646984397,41
"GOBP_ACTIN_FILAMENT_BASED_PROCESS",0.834008097165992,1,0.0211456362513594,-0.329341908823794,-0.816462466395333,340
"GOBP_ACTIN_FILAMENT_BASED_TRANSPORT",0.916515426497278,1,0.0452247443372884,-0.30655065859368,-0.524236954286438,6
"GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",0.0512052348064522,0.829173682254425,0.321775918075361,0.398971207872254,1.34863101760821,81
"GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION",0.821321321321321,1,0.0415717899246479,-0.344032359404462,-0.693961532007719,28
"GOBP_ACTIN_FILAMENT_NETWORK_FORMATION",0.934240362811791,1,0.0545680646670941,0.27706476190535,0.546948392132454,7
"GOBP_ACTIN_FILAMENT_ORGANIZATION",0.50259067357513,1,0.0470699590082662,-0.402928013529444,-0.995345207618696,210
"GOBP_ACTIN_FILAMENT_POLYMERIZATION",0.111111111111111,0.935988902100674,0.143758989039275,-0.583954977786365,-1.35490523685961,72
"GOBP_ACTIN_FILAMENT_SEVERING",0.734042553191489,1,0.0543434390269162,-0.42241585408122,-0.746293389359232,9
"GOBP_ACTIN_MEDIATED_CELL_CONTRACTION",0.60828025477707,1,0.0940503465727813,0.330944507857327,0.906618570297592,31
"GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING",0.355731225296443,1,0.09754492162472,-0.789827291640142,-1.12662432017128,2
"GOBP_ACTIN_NUCLEATION",0.830564784053156,1,0.0791316651768349,0.271657305708159,0.756718238088414,34
"GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY",0.528130671506352,1,0.0713052987340038,-0.562559325718811,-0.962041278505808,6
"GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION",0.136792452830189,0.955715990608954,0.126253987849115,-0.558899243483606,-1.31510334765337,85
"GOBP_ACTION_POTENTIAL",0.149501661129568,0.973684842032697,0.211400189384923,0.447720859974101,1.24715416517825,34
"GOBP_ACTIVATED_T_CELL_PROLIFERATION",0.319884726224784,1,0.129442887745046,0.450439546030775,1.13110209740833,20
"GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS",0.843920145190563,1,0.0489954089862481,-0.360685954100484,-0.616814548365266,6
"GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY",0.546038543897216,1,0.0780892306943345,0.528811294950615,0.965950517129227,5
"GOBP_ACTIVATION_OF_GTPASE_ACTIVITY",0.684121621621622,1,0.0553642837725362,-0.44422173575665,-0.807889160109106,11
"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",0.634072580645161,1,0.035090109926935,-0.378927122681346,-0.942114026113072,349
"GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE",0.185684647302905,0.988975749314955,0.0978773277424561,-0.489223157452818,-1.20584834680764,197
"GOBP_ACTIVATION_OF_MEIOSIS",0.119001919385797,0.941384977620291,0.178219874951973,-0.954889324740824,-1.26282755195332,1
"GOBP_ACTIVATION_OF_MEMBRANE_ATTACK_COMPLEX",0.612419700214133,1,0.0721797965581253,0.486382866670549,0.88844884001029,5
"GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY",0.754545454545455,1,0.0647943366000727,0.3630128573192,0.744678884853345,8
"GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY",0.889908256880734,1,0.0387166740042594,-0.296686246731854,-0.592607810707777,24
"GOBP_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY",0.675889328063241,1,0.0633597010643758,-0.628637349885455,-0.896699993081097,2
"GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY",0.551401869158878,1,0.070619624712259,-0.569854253813455,-0.950177968403013,5
