"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGKC",4.72474388549349e-13,-5.09736816957598,0.559,0.949,1.24156819822998e-08
"TARS3",5.69738250969102e-13,-4.04154575704942,0.009,0.128,1.49715817589661e-08
"TASL",5.92171530467661e-13,-2.90909546102577,0.028,0.231,1.55610834776292e-08
"MSR1",6.62893187714786e-13,2.32786703593529,0.9,0.538,1.74195071867691e-08
"SLC39A13-AS1",8.39636493569596e-13,-4.08663364657796,0.013,0.154,2.20639677780218e-08
"IARS1",1.04279010422288e-12,-3.7647055516906,0.013,0.154,2.74024383587687e-08
"H2BC5",1.17455565366417e-12,-3.60243412279172,0.013,0.154,3.08649734669871e-08
"MIR142HG",1.23276249439573e-12,-3.29904197934179,0.018,0.179,3.2394532827731e-08
"MRC1",1.46329881055568e-12,-1.96184631591877,0.402,0.846,3.84525661437821e-08
"MIDEAS",1.96231739028805e-12,-3.86751635727437,0.014,0.154,5.15657763819893e-08
"POLR1F",2.52118008898378e-12,-3.32052170675224,0.014,0.154,6.62515703783158e-08
"ADAMTSL4-AS1",3.01663271782597e-12,4.16185872143644,0.729,0.205,7.92710745590307e-08
"NARS1",3.36890209111394e-12,-3.09812928541579,0.037,0.256,8.85280091502922e-08
"PPBP",3.5326068282351e-12,-4.13005592686909,0.01,0.128,9.2829842232362e-08
"MARCKS",4.2807348337395e-12,1.78091332523961,0.935,0.615,1.12489149961007e-07
"PALS1",4.75027470696479e-12,-3.53811314182487,0.014,0.154,1.24827718749621e-07
"CD52",5.93230401071568e-12,-2.06340134034024,0.228,0.641,1.55889084793587e-07
"MARCHF5",6.900055774366e-12,-3.90068322120957,0.014,0.154,1.8131966563879e-07
"PEDS1",8.7084899212014e-12,-3.5720604737482,0.014,0.154,2.28841698149331e-07
"NUDT16-DT",8.73386270136357e-12,-4.05748730091844,0.01,0.128,2.29508444066432e-07
"POLR1H",8.81457876333576e-12,-3.3756632609447,0.019,0.179,2.31629500742937e-07
"CEBPB",9.39439335421996e-12,-1.65139183636203,0.603,0.974,2.46865868562192e-07
"C8orf44",9.68589254031864e-12,-3.835094879582,0.01,0.128,2.54525884174493e-07
"DENND3-AS1",9.86733352402572e-12,-3.65452263394018,0.01,0.128,2.59293790344348e-07
"TMEM158",1.36874381484087e-11,-3.71223813179646,0.015,0.154,3.59678499663884e-07
"CARS1",1.45058152033599e-11,-3.69759135583206,0.015,0.154,3.81183811913893e-07
"SDHAP1",1.64521566703905e-11,-3.50494627788967,0.015,0.154,4.32329772984521e-07
"KATNIP",1.9984383121133e-11,-4.01018158614009,0.01,0.128,5.25149619657134e-07
"MEF2A",2.13922722818605e-11,1.68299523607976,0.96,0.897,5.6214613102273e-07
"PRDX6-AS1",2.1799404030262e-11,-3.835094879582,0.01,0.128,5.72844739107226e-07
"NPIPB13",2.91599726795484e-11,-2.97259840333193,0.033,0.231,7.66265762073173e-07
"H1-0",3.02689373677389e-11,-3.40978904484933,0.015,0.154,7.95407136149443e-07
"UQCC5",3.74352762304636e-11,-3.22628563690647,0.02,0.179,9.83724188784123e-07
"AC093895.1",4.40857928073605e-11,8.23851116099294,0.591,0,1.15848646339182e-06
"VCAN-AS1",4.59385444717314e-11,-3.34966805241176,0.027,0.205,1.20717307162816e-06
"MARCO",5.57216257583291e-11,-2.45658325632827,0.049,0.282,1.46425288167737e-06
"SARS1",9.14536901446316e-11,-3.11262885511091,0.021,0.179,2.40322006962063e-06
"H2AX",1.21697838842205e-10,-4.01951945071942,0.007,0.103,3.19797580909546e-06
"DOCK4",1.26668857436646e-10,1.74186860835621,0.972,0.949,3.32860423572018e-06
"RGS1",2.0314494318611e-10,2.1936400139029,0.841,0.513,5.3382428170446e-06
"CEP250-AS1",2.03509976726592e-10,-3.65452263394018,0.011,0.128,5.34783516842139e-06
"EOLA2-DT",2.03509976726592e-10,-3.61270245824555,0.011,0.128,5.34783516842139e-06
"PMS2P4",2.10306597627655e-10,-3.5720604737482,0.011,0.128,5.52643677245951e-06
"SEMA6B",2.37889252487582e-10,-3.04659898477571,0.028,0.205,6.25125377686869e-06
"HYCC2",2.55629733684052e-10,-2.79947096985128,0.022,0.179,6.71743814174953e-06
"RARS1",2.92997126842673e-10,-3.07902046246809,0.022,0.179,7.69937849917176e-06
"SHKBP1",3.31594977473916e-10,-2.00727585496468,0.138,0.487,8.71365281805956e-06
"UPP1",3.73278288973385e-10,-1.85986278473094,0.321,0.744,9.80900687764262e-06
"C20orf194",5.156348772416e-10,3.67649966195542,0.615,0.103,1.35498533041548e-05
"LAPTM4B",6.19679774390777e-10,-2.86751635727437,0.029,0.205,1.62839451114408e-05
"CLASP1-AS1",7.74075693667733e-10,-3.45658325632827,0.012,0.128,2.03411610782007e-05
"SPRING1",8.1208733386884e-10,-3.95538911329971,0.008,0.103,2.13400309594054e-05
"CEP43",8.36551682798639e-10,-3.5720604737482,0.008,0.103,2.19829051205826e-05
"GK",1.01517683677055e-09,-1.8468047788624,0.424,0.795,2.66768169166565e-05
"FCGBP",1.02191989005147e-09,4.09143174345328,0.59,0.051,2.68540108707727e-05
"ADISSP",1.09084563235311e-09,-3.15702297446936,0.018,0.154,2.8665241526975e-05
"TEX14",1.13350066902506e-09,3.75879146929086,0.739,0.385,2.97861305806406e-05
"IFT25",1.4380429233978e-09,-2.81717297158473,0.024,0.179,3.77888919410474e-05
"IL7R",1.49176623757932e-09,-2.46736309508151,0.087,0.359,3.92006331911094e-05
"ANGPTL4",1.66427763495937e-09,-2.76284999511212,0.056,0.282,4.37338876914623e-05
"DLEU1",1.67042774868507e-09,2.28346173076991,0.786,0.41,4.38955003799463e-05
"UBE2Q2P1",1.92940215868502e-09,-3.835094879582,0.008,0.103,5.0700829925925e-05
"DTNA",1.94857662613517e-09,3.95176281643522,0.583,0.077,5.12046965815799e-05
"KRBOX5",1.95761928277828e-09,-3.77851135121563,0.008,0.103,5.14423195128478e-05
