"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KLHL9",0.274298447453856,0.339949078261598,0.119,0.092,1
"CHD1",0.381829347384257,0.339773764061442,0.21,0.189,1
"TIMMDC1",0.263459264227298,0.339731226587841,0.268,0.235,1
"NOC3L",0.249168819143949,0.339411960046755,0.138,0.107,1
"PRKAA1",0.21893099778026,0.339290262941652,0.189,0.153,1
"DDAH2",0.0750275390799563,0.339231462240629,0.435,0.378,1
"MGEA5",0.383396526339022,0.338871635029007,0.221,0.199,1
"TGFB3",0.107778399705584,0.338399949069416,0.173,0.128,1
"MED19",0.450408284294052,0.338358284552211,0.185,0.168,1
"POLR2E",0.0899979154273919,0.33814994655256,0.417,0.367,1
"ARL13B",0.338028378919908,0.337896810340889,0.156,0.133,1
"NDUFV2",0.0402776755731017,0.337687663715745,0.515,0.459,1
"VHL",0.278884828148187,0.336856116802124,0.107,0.082,1
"BAG3",0.577874449337607,0.336815299181367,0.205,0.194,1
"BCCIP",0.153074667113009,0.336668509608702,0.202,0.158,1
"PDCD6IP",0.182667322442275,0.336653548827397,0.316,0.276,1
"PDS5A",0.20444775451929,0.33605976184405,0.177,0.143,1
"ERP29",0.0311238791747748,0.33597491374137,0.533,0.444,1
"CIAPIN1",0.80583945042033,0.33568485990649,0.107,0.117,1
"PIGT",0.0895399800133995,0.333597465667972,0.396,0.337,1
"PSMB10",0.45206810283434,0.333388369890172,0.237,0.219,1
"NUTF2",0.213764443560296,0.333111759649188,0.314,0.286,1
"DDX3X",0.0152079451715708,0.333093660198094,0.374,0.286,1
"HECTD2",0.379500068930165,0.333006082874499,0.17,0.148,1
"EHMT1",0.254983293217364,0.332489012573256,0.166,0.133,1
"KIAA2026",0.672198263020985,0.332282757906467,0.116,0.107,1
"ZNF593",0.202813291599769,0.332169883487136,0.234,0.194,1
"ACVR1",0.770039644073686,0.331985513750187,0.172,0.168,1
"CEP83",0.57844460782992,0.331975277530633,0.103,0.092,1
"KCTD9",0.120256443019362,0.331697884035588,0.102,0.066,1
"TMEM147",0.337979870587427,0.33131763666305,0.422,0.418,1
"MPZL1",0.222505119367289,0.331240788895347,0.326,0.296,1
"GMCL1",0.505963951594441,0.330464504343447,0.117,0.102,1
"C21orf59",0.319262484596291,0.330321864852537,0.191,0.163,1
"APPBP2",0.125295782137364,0.330267712005626,0.193,0.148,1
"EPAS1",0.0329962410523628,0.330087406041646,0.357,0.286,1
"PPIL4",0.0718293990512489,0.329852853187181,0.303,0.235,1
"BHLHE40",0.0366071573819332,0.329723541004788,0.328,0.25,1
"WDR83OS",0.00432915882735468,0.329659373860472,0.743,0.638,1
"MIR497HG",0.0513274347068939,0.329515479524722,0.159,0.107,1
"HMGB1",0.000376568221868149,0.329464018987332,0.881,0.811,1
"NDUFA2",0.336454652525768,0.329363294497468,0.412,0.403,1
"NDUFB2",0.00854941582029845,0.32928286619343,0.665,0.561,1
"COX20",0.120649230038839,0.329021582798499,0.268,0.219,1
"PPP3CB",0.301591929152939,0.328924118511436,0.123,0.097,1
"ASAH1",0.028197360583971,0.328686775926073,0.486,0.398,1
"ACTN4",0.274977722745515,0.32815978255687,0.301,0.27,1
"MESDC2",0.0571216515780993,0.328101124461864,0.411,0.337,1
"G6PC3",0.407258461017949,0.327981450120477,0.232,0.214,1
"YTHDC1",0.0714875303373251,0.327869904069799,0.306,0.245,1
"LRRC23",0.122489567955634,0.327805560585283,0.111,0.071,1
"ITGA2",0.109591354014507,0.327746493233914,0.148,0.102,1
"PIK3IP1",0.0875808067118063,0.327700927001464,0.166,0.112,1
"KDM2A",0.200627485999285,0.327342991018396,0.118,0.087,1
"LPAR1",0.0559013503946884,0.327133980897669,0.248,0.184,1
"IFI27",0.912904271129874,0.326941750150628,0.133,0.138,1
"HELZ",0.236238727642709,0.326680308780289,0.221,0.184,1
"ARID5B",0.345079225618929,0.325743378111396,0.549,0.531,1
"CSNK2A1",0.338658754079592,0.325462196720035,0.232,0.209,1
"LAMP2",0.39163203696746,0.325402436919057,0.418,0.418,1
"TSC22D2",0.537502761144976,0.325228475780704,0.146,0.133,1
"CD164",0.0256422726504065,0.325192475983689,0.565,0.469,1
"MYNN",0.375427779220365,0.324810657906846,0.118,0.097,1
"TMEM55B",0.340596934710007,0.324224758807448,0.143,0.117,1
"SLC35B4",0.141058559723506,0.323840803223034,0.101,0.066,1
"TOB1",0.384323411190201,0.323540664881758,0.17,0.148,1
"POLR2C",0.114456898396901,0.323417756996797,0.225,0.173,1
"JKAMP",0.15145421467898,0.322779134189912,0.283,0.235,1
"CYP7B1",0.742789141346712,0.322687256856387,0.256,0.25,1
"VPS28",0.00191141363243827,0.32267848528639,0.624,0.52,1
"PRKRIP1",0.477592673145973,0.322067990920183,0.102,0.087,1
"CCDC102B",0.450639634258587,0.321544095464946,0.278,0.332,1
"FAM73A",0.20056609712841,0.321491246821215,0.143,0.107,1
"HOXB4",0.448030526962668,0.321069689115138,0.146,0.128,1
"RSRC2",0.0197796288172511,0.321045308767929,0.456,0.367,1
"HAGH",0.132467433599548,0.320937421754966,0.183,0.138,1
"DCBLD1",0.291264772791162,0.320905770660296,0.17,0.138,1
"PPM1A",0.236539508027743,0.320841951982898,0.167,0.133,1
"PRKCDBP",0.0436711087129103,0.320463512505229,0.588,0.495,1
"EMC7",0.00568494990678234,0.3204345320948,0.429,0.311,1
"GDE1",0.570862161252188,0.320111397194159,0.145,0.133,1
"SPRY1",4.11545418027529e-05,0.31992240634888,0.635,0.474,1
"MRPL32",0.418510455488392,0.31984391525997,0.229,0.209,1
"ETV1",0.0889267998276913,0.319441137240917,0.373,0.316,1
"MLEC",0.251186512205355,0.318747514920027,0.365,0.332,1
"FAM127A",0.023156824116487,0.317864924096174,0.646,0.566,1
"LINC00116",0.0401909029825436,0.317595274212779,0.331,0.26,1
"PDCD2",0.369824534540448,0.317451147437803,0.212,0.189,1
"PTGR1",0.359232808054665,0.316947173610603,0.212,0.184,1
"NEMF",0.452673685061584,0.316298987361907,0.272,0.26,1
"CD46",0.0485107299423671,0.316255452380378,0.494,0.423,1
"ZEB2",0.0419676423756985,0.316040572496947,0.539,0.464,1
"ATP6V1D",0.759219301341784,0.315965615170016,0.204,0.204,1
