"pathway","pval","padj","log2err","ES","NES","size","cluster"
"HALLMARK_INFLAMMATORY_RESPONSE",0.808988764044944,0.835955056179775,0.16440575583821,0.21051619447062,0.867920696921196,58,"2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.598503740648379,0.759152119700748,0.0475434194201301,-0.365983565949847,-0.920973382805532,18,"2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.438478747203579,0.691800507185123,0.0568864160475701,-0.343510526045232,-1.03348595397742,50,"2"
"HALLMARK_KRAS_SIGNALING_UP",0.203051643192488,0.657602505694761,0.0999276973731092,-0.427484154909562,-1.20701841324885,34,"2"
"HALLMARK_MITOTIC_SPINDLE",0.210153482880756,0.657602505694761,0.0982123351217438,-0.444168425168665,-1.20819417989972,26,"2"
"HALLMARK_MTORC1_SIGNALING",0.319492502883506,0.657602505694761,0.0738052724171275,-0.379398789268423,-1.102137271824,40,"2"
"HALLMARK_MYOGENESIS",0.249376558603491,0.657602505694761,0.0913924325943768,-0.473237065119753,-1.19086970367415,18,"2"
"HALLMARK_P53_PATHWAY",0.401149425287356,0.691800507185123,0.0623861492893626,-0.358118919851316,-1.05166392598151,42,"2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.104651162790698,0.657602505694761,0.138022242496643,-0.385504244459534,-1.24794634014402,92,"2"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.612219451371571,0.759152119700748,0.0465084048719156,-0.360999055236856,-0.908430192017553,18,"2"
"HALLMARK_UV_RESPONSE_DN",0.0935672514619883,0.657602505694761,0.155241966228839,-0.474274109059243,-1.33693915726409,33,"2"
"HALLMARK_UV_RESPONSE_UP",0.468639053254438,0.691800507185123,0.0564118388217596,-0.370724989594604,-1.00398222675363,25,"2"
"HALLMARK_XENOBIOTIC_METABOLISM",0.465334900117509,0.691800507185123,0.0564118388217596,-0.361591863091407,-1.01036407008044,32,"2"
"HALLMARK_ADIPOGENESIS",0.122710622710623,0.38040293040293,0.170932335370056,-0.473405883370815,-1.31310080999846,16,"3"
"HALLMARK_ALLOGRAFT_REJECTION",0.979057591623037,0.979057591623037,0.0404114482034376,-0.181248682516406,-0.585995697548131,32,"3"
"HALLMARK_ANDROGEN_RESPONSE",0.435185185185185,0.793572984749455,0.0949751525905595,0.305831164039141,1.01886042823244,28,"3"
"HALLMARK_APICAL_JUNCTION",0.395089285714286,0.782962328767123,0.0985499803531691,0.365683436828085,1.05798469453341,17,"3"
"HALLMARK_APOPTOSIS",0.944350758853288,0.979057591623037,0.0404934829859503,-0.198844932727679,-0.680706107154071,42,"3"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.954441913439636,0.979057591623037,0.05378728077603,0.206607368264901,0.632937040822881,20,"3"
"HALLMARK_COAGULATION",0.0132548233367259,0.081968230962301,0.380730400722792,-0.558262389048368,-1.67776080227939,22,"3"
"HALLMARK_COMPLEMENT",0.178268251273345,0.460526315789474,0.133554954557592,-0.350830826367725,-1.20874063460859,43,"3"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.000124055328324518,0.00384571517806004,0.518848077743792,-0.591720070830954,-1.96594481744922,36,"3"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.495260663507109,0.817693744164332,0.0888945288620449,0.279650809724729,0.970678231974386,34,"3"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.366666666666667,0.782962328767123,0.0888945288620449,-0.332997887795963,-1.05326333597625,28,"3"
"HALLMARK_FATTY_ACID_METABOLISM",0.767730496453901,0.979057591623037,0.0522693317499306,-0.273251521529663,-0.788418978489576,19,"3"
"HALLMARK_G2M_CHECKPOINT",0.404109589041096,0.782962328767123,0.0985499803531691,0.343855381868146,1.03212446617541,19,"3"
"HALLMARK_GLYCOLYSIS",0.0361359289588972,0.160030542532259,0.321775918075361,-0.492040334798106,-1.55631030543313,28,"3"
"HALLMARK_HEME_METABOLISM",0.138297872340426,0.389748549323017,0.157402899305283,-0.44780635490757,-1.29206610422859,19,"3"
"HALLMARK_HYPOXIA",0.0887372013651877,0.319467865842233,0.195789002148949,-0.361691447195122,-1.30452703079573,58,"3"
"HALLMARK_IL2_STAT5_SIGNALING",0.553921568627451,0.817693744164332,0.0845557442441281,0.252831531406422,0.948376946173913,47,"3"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.962962962962963,0.979057591623037,0.0541200569620232,0.195184842745525,0.607877004614509,22,"3"
"HALLMARK_INFLAMMATORY_RESPONSE",0.0927487352445194,0.319467865842233,0.190023305279108,-0.363151119355592,-1.30772878424688,56,"3"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00181326844273666,0.0281056608624182,0.45505986738723,-0.651917559431374,-1.88099291593699,19,"3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0118925043406518,0.081968230962301,0.380730400722792,-0.444403732281055,-1.59444120794066,52,"3"
"HALLMARK_KRAS_SIGNALING_UP",0.781990521327014,0.979057591623037,0.0650877566917313,0.23257083279077,0.807261902815051,34,"3"
"HALLMARK_MITOTIC_SPINDLE",0.55011655011655,0.817693744164332,0.0822054920415869,0.286360395654888,0.941388693266418,26,"3"
"HALLMARK_MTORC1_SIGNALING",0.88780487804878,0.979057591623037,0.0603786357920401,0.208783446143861,0.749325339386094,39,"3"
"HALLMARK_MYOGENESIS",0.635535307517084,0.895527024228619,0.0734381410838857,0.283226752856999,0.867658807818212,20,"3"
"HALLMARK_P53_PATHWAY",0.935483870967742,0.979057591623037,0.0412376090540065,-0.196270162043839,-0.676222561967619,43,"3"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00930910018433895,0.081968230962301,0.380730400722792,0.359957349548274,1.53712262784495,92,"3"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.973033707865169,0.979057591623037,0.0522693317499306,0.200674551906556,0.592743348401744,18,"3"
"HALLMARK_UV_RESPONSE_DN",0.547993019197208,0.817693744164332,0.0675188953767744,-0.288411479023335,-0.932464079102309,32,"3"
"HALLMARK_UV_RESPONSE_UP",0.0158648188959292,0.081968230962301,0.352487857583619,0.521934294328098,1.69879003813005,25,"3"
"HALLMARK_XENOBIOTIC_METABOLISM",0.221254355400697,0.527606539801662,0.119887845115423,-0.368279430761998,-1.18622445000729,31,"3"
"HALLMARK_ADIPOGENESIS",0.318318318318318,0.525225225225225,0.0880945010398517,0.407773872832884,1.11066460635415,17,"4"
"HALLMARK_ALLOGRAFT_REJECTION",0.0953038674033149,0.285911602209945,0.16823816568964,0.409491194577654,1.32857393220756,38,"4"
