"pathway","pval","padj","log2err","ES","NES","size","cluster"
"ERBB2_UP.V1_DN",0.871794871794872,0.941409768428393,0.047925896705813,-0.243794970419009,-0.715999420179793,19,"6"
"ERBB2_UP.V1_UP",0.122317596566524,0.37238912732475,0.186432558434075,0.409275163212357,1.29590363452867,29,"6"
"ESC_J1_UP_EARLY.V1_DN",0.13003663003663,0.387283006848224,0.165656695205483,-0.449961987414427,-1.32148961702517,19,"6"
"ESC_J1_UP_EARLY.V1_UP",0.00360870552143462,0.0494392656436543,0.431707695803346,0.615221170454397,1.76447091216657,21,"6"
"ESC_J1_UP_LATE.V1_DN",0.710332103321033,0.842974433784062,0.0577308549299813,-0.279887561171634,-0.835928459368064,20,"6"
"ESC_J1_UP_LATE.V1_UP",0.652985074626866,0.805936533548474,0.062249042949858,-0.27975018778617,-0.878925822151261,29,"6"
"ESC_V6.5_UP_EARLY.V1_DN",5.64935713417379e-05,0.00430899455912767,0.557332238758646,-0.698736870302634,-2.11886874305334,24,"6"
"ESC_V6.5_UP_LATE.V1_DN",0.03822371328528,0.174554957336112,0.321775918075361,-0.538211108091465,-1.62401543718193,23,"6"
"ESC_V6.5_UP_LATE.V1_UP",0.421739130434783,0.649193942354665,0.0931454575337804,0.365147930943643,1.03952541295576,20,"6"
"GCNP_SHH_UP_EARLY.V1_DN",0.734204793028322,0.845260980209077,0.0640703750499722,0.267038430660395,0.826056501952427,26,"6"
"GCNP_SHH_UP_LATE.V1_DN",0.146567717996289,0.412681677837187,0.156312403073186,-0.48076617582371,-1.31018757028578,15,"6"
"GCNP_SHH_UP_LATE.V1_UP",0.543599257884972,0.75992957479838,0.0709609456938284,-0.332355784507095,-0.943013584960703,17,"6"
"HALLMARK_ADIPOGENESIS",0.814254859611231,0.91615473724857,0.0587185879555941,0.26879119094435,0.742552326256079,17,"6"
"HALLMARK_ALLOGRAFT_REJECTION",0.339047619047619,0.595506715506716,0.0982123351217438,-0.331603089527583,-1.08627975122181,36,"6"
"HALLMARK_ANDROGEN_RESPONSE",0.823655913978495,0.917405367602063,0.0579754757571486,0.245290418425682,0.767841155003796,28,"6"
"HALLMARK_APICAL_JUNCTION",0.188841201716738,0.46686517783292,0.147331213699377,0.472176804016496,1.28713372696805,16,"6"
"HALLMARK_APOPTOSIS",0.441287878787879,0.656480754124116,0.0828962134571565,-0.298116981930854,-1.01427402896133,43,"6"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.118081180811808,0.37238912732475,0.175204047558551,-0.44190167082452,-1.31980921673754,20,"6"
"HALLMARK_COAGULATION",0.00151390642520014,0.0345583290125889,0.45505986738723,-0.624407559538148,-1.89347051381241,24,"6"
"HALLMARK_COMPLEMENT",0.160984848484848,0.432449494949495,0.150169802128406,-0.361401232016929,-1.22958404212753,43,"6"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00176575403713958,0.0345583290125889,0.45505986738723,-0.567323461653267,-1.84996179412423,35,"6"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.604700854700855,0.794412229836584,0.0727141077934447,0.283068381264854,0.935589732109284,34,"6"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.230912476722533,0.479318322893742,0.121543282035469,-0.372485197321034,-1.16688935433677,28,"6"
"HALLMARK_FATTY_ACID_METABOLISM",0.14760147601476,0.412681677837187,0.155241966228839,-0.42477440223606,-1.26865592080541,20,"6"
"HALLMARK_G2M_CHECKPOINT",0.296052631578947,0.572068012496996,0.115734447701689,0.40537452939123,1.13801421882456,19,"6"
"HALLMARK_GLYCOLYSIS",0.455223880597015,0.656480754124116,0.080419996876154,-0.317580541003718,-0.997782129512963,29,"6"
"HALLMARK_HEME_METABOLISM",0.985347985347985,0.996209656428943,0.042331839351853,-0.192719299934477,-0.565995708497939,19,"6"
"HALLMARK_HYPOXIA",0.00144714147911245,0.0345583290125889,0.45505986738723,-0.486761632745708,-1.76329051373229,59,"6"
"HALLMARK_IL2_STAT5_SIGNALING",0.0171751298504547,0.130721821639572,0.352487857583619,-0.449022742911439,-1.55252090096478,47,"6"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.39924670433145,0.626815197931172,0.0880945010398517,-0.340524280763285,-1.02750887222652,23,"6"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00015753727319612,0.00719420214262281,0.518848077743792,-0.535363358668807,-1.89782575099803,54,"6"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.212454212454212,0.46686517783292,0.126253987849115,-0.400452847475046,-1.17608663586738,19,"6"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.218283582089552,0.46686517783292,0.12563992130984,-0.327243609934558,-1.15445687569351,53,"6"
"HALLMARK_KRAS_SIGNALING_UP",0.00250174212824719,0.0428423339462332,0.431707695803346,-0.544957373134117,-1.76727798163914,34,"6"
"HALLMARK_MITOTIC_SPINDLE",0.701525054466231,0.842974433784062,0.0662842187012672,0.275410754042413,0.85195544147608,26,"6"
"HALLMARK_MTORC1_SIGNALING",0.212806026365348,0.46686517783292,0.128142916898415,-0.349802517141724,-1.17795039008343,40,"6"
"HALLMARK_MYOGENESIS",0.206521739130435,0.46686517783292,0.141225119642531,0.429430932372302,1.22253018429178,20,"6"
"HALLMARK_P53_PATHWAY",0.573863636363636,0.775904234779251,0.0692836467392548,-0.275112450136144,-0.936006434151177,43,"6"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",6.2905030060258e-05,0.00430899455912767,0.538434096309916,-0.482590276930866,-1.89746542455599,92,"6"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.136531365313653,0.397974405275968,0.161978948883402,-0.448979596820588,-1.29211609397741,18,"6"
"HALLMARK_UV_RESPONSE_DN",0.681623931623932,0.826393616216625,0.0667426134241917,0.265037824556546,0.875995638112882,34,"6"
"HALLMARK_UV_RESPONSE_UP",0.988938053097345,0.996209656428943,0.0508054139066364,0.161858974358974,0.493035146797577,25,"6"
"HALLMARK_XENOBIOTIC_METABOLISM",0.558095238095238,0.772313612313612,0.0709609456938284,-0.297298084200654,-0.94254650356529,31,"6"
"HOXA9_DN.V1_DN",0.0972477064220184,0.317212756662298,0.193813302725311,-0.452404798675888,-1.37383638001549,22,"6"
"HOXA9_DN.V1_UP",0.22011385199241,0.46686517783292,0.126253987849115,-0.362120460056724,-1.18082374739697,35,"6"
"IL15_UP.V1_UP",0.0497237569060773,0.195087893898907,0.276500599254472,-0.470793856393313,-1.46040500101559,26,"6"
"IL2_UP.V1_DN",0.384782608695652,0.613825474717303,0.0985499803531691,0.379691080844404,1.06172441420933,18,"6"
"IL2_UP.V1_UP",0.0143747264149579,0.123083594928077,0.380730400722792,-0.513459471259617,-1.61319923139127,29,"6"
"JNK_DN.V1_UP",0.920664206642066,0.975642933730216,0.04577044581081,-0.219822461618902,-0.656534541607944,20,"6"
"KRAS.300_UP.V1_UP",0.199261992619926,0.46686517783292,0.131457611642763,-0.415290653217984,-1.19516285484077,18,"6"
"KRAS.600.LUNG.BREAST_UP.V1_DN",0.718283582089552,0.842974433784062,0.0577308549299813,-0.297526842560189,-0.826252160527581,16,"6"
"KRAS.600.LUNG.BREAST_UP.V1_UP",0.0182823093869194,0.131825072947787,0.352487857583619,-0.504794068296572,-1.58597406137855,29,"6"
"KRAS.600_UP.V1_DN",0.0476371240945349,0.195087893898907,0.321775918075361,-0.52910620684237,-1.55392761656058,19,"6"
"KRAS.600_UP.V1_UP",0.0345198861431428,0.163076703503813,0.321775918075361,-0.444784488328011,-1.48149488070856,39,"6"
"KRAS.BREAST_UP.V1_UP",0.0234542097205207,0.133884447154639,0.352487857583619,-0.596175969051477,-1.62470320008691,15,"6"
"KRAS.DF.V1_DN",0.625231910946197,0.797527910685805,0.0640703750499722,-0.311014763917185,-0.882461389779092,17,"6"
"KRAS.DF.V1_UP",0.0087613520030326,0.092331171108882,0.380730400722792,-0.585437121625628,-1.76651672313273,23,"6"
"KRAS.KIDNEY_UP.V1_UP",0.304824561403509,0.572068012496996,0.11378726182188,0.401740912004401,1.1278135082417,19,"6"
"KRAS.LUNG.BREAST_UP.V1_UP",0.0433107538049978,0.185424164727647,0.321775918075361,-0.512053269733305,-1.55497336130045,22,"6"
"KRAS.LUNG_UP.V1_UP",0.120593692022263,0.37238912732475,0.173747838999571,-0.465561110850464,-1.32096528066299,17,"6"
"LEF1_UP.V1_DN",0.84981684981685,0.931399267399267,0.0490939668192139,-0.251230346687193,-0.737836314877369,19,"6"
"LEF1_UP.V1_UP",0.00297605448235919,0.0453021626759121,0.431707695803346,-0.543424301984301,-1.72762975869151,32,"6"
"LTE2_UP.V1_DN",0.932914046121593,0.975642933730216,0.051011413203915,0.208191735218102,0.701251231018361,36,"6"
"LTE2_UP.V1_UP",0.719912472647702,0.842974433784062,0.0652353056017703,0.285679824125797,0.829207871705541,22,"6"
"MEK_UP.V1_DN",0.981378026070764,0.996209656428943,0.0432768714901103,-0.186616961501291,-0.581691583136868,27,"6"
"MEK_UP.V1_UP",0.166666666666667,0.439102564102564,0.157402899305283,0.371546816464653,1.22802619257209,34,"6"
