"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.23309466245566e-139,1.61105051673886,0.572,0.276,3.24032615400098e-135,"3","SGPL1"
4.60857819839397e-49,1.59725604146753,0.262,0.121,1.21104217897397e-44,"3","PLK2"
3.12829028302039e-65,1.58530224525993,0.392,0.204,8.22052120572097e-61,"3","AC243829.4"
3.13406036434256e-66,1.55557740001677,0.331,0.15,8.23568382541938e-62,"3","HIST1H2BD"
4.53220510215156e-113,1.5300074516316,0.615,0.353,1.19097285674339e-108,"3","GLA"
7.07753093330168e-61,1.52512092614953,0.39,0.21,1.85983357865301e-56,"3","KLHL15"
5.26331884660736e-73,1.5205361909304,0.411,0.213,1.38309492651148e-68,"3","SLC45A4"
3.31855612175594e-77,1.51708024798268,0.59,0.392,8.72050177675026e-73,"3","POLR2A"
1.35699612136511e-70,1.51582930673959,0.347,0.159,3.56591440772323e-66,"3","LACC1"
4.06085311005663e-168,1.50840889472216,0.824,0.588,1.06711098026068e-163,"3","PTPN1"
1.11188717407393e-246,1.48920544631215,0.952,0.704,2.92181711603148e-242,"3","AHR"
9.66482484441871e-80,1.47687930561634,0.508,0.288,2.53972267261635e-75,"3","WDR74"
5.45452493501836e-53,1.47631556667543,0.285,0.132,1.43334006242413e-48,"3","AL133415.1"
1.8614360772613e-67,1.45391792155175,0.505,0.306,4.89148172382725e-63,"3","AL390957.1"
3.0007556701336e-70,1.45176461465185,0.348,0.157,7.88538574997707e-66,"3","AMZ1"
6.01130081821384e-59,1.42967629694089,0.379,0.199,1.57964962901023e-54,"3","RUNX3"
1.36009608044599e-101,1.42960135799186,0.523,0.262,3.57406048019598e-97,"3","AC120193.1"
4.63342104879303e-134,1.42368478129477,0.663,0.37,1.21757038320183e-129,"3","ARL4C"
2.94027964590939e-86,1.42318885230112,0.665,0.465,7.72646685352069e-82,"3","GLUD1"
2.76946539440515e-47,1.42317417514184,0.271,0.127,7.27760116341785e-43,"3","GZF1"
9.90593952540787e-46,1.41719400616093,0.313,0.165,2.60308278848668e-41,"3","CSKMT"
3.32163624619017e-110,1.41058149454967,0.559,0.288,8.72859572773854e-106,"3","MB21D2"
1.50233650295674e-61,1.40940144200127,0.377,0.191,3.94783986246972e-57,"3","STX17-AS1"
1.14126461298474e-57,1.40795991212992,0.363,0.186,2.9990151500013e-53,"3","AL021155.5"
3.09064685669756e-65,1.39678230412355,0.488,0.284,8.12160181002985e-61,"3","NFE2L3"
4.39392419872291e-155,1.3811763589038,0.851,0.621,1.15463540094041e-150,"3","NFKBIZ"
3.46615001888483e-91,1.37800900080238,0.581,0.344,9.10834901962557e-87,"3","RIPK1"
9.08226494308303e-140,1.3723874117629,0.594,0.277,2.38663758174336e-135,"3","SOCS3"
7.22037449293048e-51,1.36857504785614,0.281,0.13,1.89737000925227e-46,"3","EPDR1"
6.64318101647815e-76,1.36417967776785,0.458,0.236,1.74569510751013e-71,"3","AC103591.3"
2.14664845331014e-63,1.36122563173951,0.282,0.116,5.64096280560839e-59,"3","ARL17B"
3.52721128606978e-63,1.3550064197875,0.377,0.189,9.26880581753418e-59,"3","OLFML2B"
2.23789012492178e-145,1.35492194775418,0.721,0.395,5.88072767026946e-141,"3","LNCAROD"
1.73737003643114e-106,1.34851710814868,0.657,0.4,4.56546098173375e-102,"3","MXD1"
4.11081168513228e-36,1.34296047634127,0.32,0.186,1.08023909461906e-31,"3","TSPYL2"
2.48068705158712e-56,1.33457639296414,0.362,0.187,6.51874943416064e-52,"3","ZNF10"
2.37775949434079e-50,1.32764563699467,0.256,0.112,6.24827639922874e-46,"3","LGALS2"
1.3546186042654e-100,1.32166739198223,0.37,0.139,3.55966676828862e-96,"3","MMP19"
5.80526978662473e-57,1.313126973103,0.539,0.367,1.52550879452925e-52,"3","RBBP6"
2.23382535106926e-38,1.31113033249401,0.278,0.147,5.8700462575398e-34,"3","TAF13"
6.02732246161904e-31,1.30686089079681,0.252,0.138,1.58385979646425e-26,"3","HIST2H2BF"
2.24806909740213e-42,1.28786924674056,0.278,0.138,5.90747597415332e-38,"3","AC017101.1"
1.5536685696557e-50,1.28432832918283,0.301,0.144,4.08273026734126e-46,"3","CLECL1"
